city,contribution amount,degree level,division professional school,facility code,number of students,state,campus,date agreement received,year of yr participation
Evansville,99999,Undergraduate,School of Business,24907614,100,IN,Evansville,10/05/2012,NULL
Evansville,99999,Undergraduate,School of Health Science,24907614,100,IN,Evansville,10/05/2012,NULL
Indianapolis,99999,Undergraduate,All,24931214,99999,IN,,,
Elkhart,99999,Undergraduate,School of Health Sciences - Undergraduate,24931014,100,IN,Elkhart,,NULL
Elkhart,99999,Undergraduate,School of Criminal Justice - Undergraduate,24931014,100,IN,Elkhart,,NULL
Elkhart,99999,Undergraduate,School of Business - Undergraduate,24931014,100,IN,Elkhart,,NULL
Fort Wayne,99999,Undergraduate (School of Criminal Justice),School of Criminal Justice,24927414,100,IN,Fort Wayne,,NULL
Fort Wayne,99999,Undergraduate (School of Business),School of Business,24927414,100,IN,Fort Wayne,,NULL
Fort Wayne,99999,Undergraduate (School of Health Sciences),School of Health Sciences,24927414,100,IN,Fort Wayne,,NULL
Hartford,3000,Graduate,All,31003407,99999,CT,NULL,,NULL
Oneonta,99999,Undergraduate,All,31001732,100,NY,Oneonta,,NULL
Cambridge,99999,All,Arts and Sciences,31800121,99999,MA,,,
Cambridge,20000,All,Business,31800121,99999,MA,,,
Cambridge,6000,Undergraduate,College,31800121,99999,MA,,,
Cambridge,5000,All,Dental,31800121,99999,MA,,,
Cambridge,99999,All,Design,31800121,99999,MA,,,
Cambridge,99999,Graduate,Divinity,31800121,99999,MA,,,
Cambridge,99999,All,Education,31800121,99999,MA,,,
Trenton,1350,Graduate,School of Nursing,11904130,100,NJ,On Line School,,NULL
Cambridge,7500,All,Kennedy School,31800121,99999,MA,,,
Cambridge,99999,All,Law,31800121,99999,MA,,,
Cambridge,99999,All,Medicine,31800121,99999,MA,,,
Cambridge,10000,All,Public Health,31800121,99999,MA,,,
Cambridge,99999,All,All,31800221,99999,MA,Cambridge,02/05/2019,2019/2020
Claremont,5000,Undergraduate,All,31507205,8,CA,NULL,,2018/2019
Hastings,7500,Undergraduate,All,31000527,15,NE,Hastings,,NULL
Honolulu,10000,All,All,31712164,99999,HI,,,
Milpitas,50000,Undergraduate,All,24804805,99999,CA,Milpitas,03/05/2012,NULL
Concord,50000,Undergraduate,All,24805605,99999,CA,Concord,03/05/2012,NULL
Hayward,50000,Undergraduate,All,24805105,99999,CA,Hayward,03/05/2012,NULL
Honolulu,50000,Undergraduate,All,24914164,99999,HI,Honolulu,03/05/2012,NULL
Salida,50000,Undergraduate,All,24004805,99999,CA,Modesto,03/05/2012,NULL
Portland,2000,Undergraduate,All,31002637,99999,OR,NULL,10/04/2013,NULL
Portland,50000,Undergraduate,All,24903437,99999,OR,Portland,03/05/2012,NULL
Rancho Cordova,50000,Undergraduate,All,24805005,99999,CA,Rancho Cordova,03/05/2012,NULL
Roseville,50000,Undergraduate,All,24804905,99999,CA,Roseville,03/05/2012,NULL
Salinas,50000,Undergraduate,All,24805405,99999,CA,Salinas,03/05/2012,NULL
San Francisco,50000,Undergraduate,All,24805205,99999,CA,San Francisco,03/05/2012,NULL
Stockton,50000,Undergraduate,All,24805305,99999,CA,Stockton,03/05/2012,NULL
Tiffin,99999,Undergraduate,All,31001435,20,OH,,,NULL
San Jose,99999,Graduate,All,21111905,99999,CA,,,NULL
San Jose,99999,Doctoral,All,21111905,99999,CA,,,
Fresno,500000,Undergraduate,All,24805505,99999,CA,Fresno,03/05/2012,NULL
Florence,99999,All,All,31002201,99999,AL,,02/04/2012,NULL
Little Rock,99999,All,All,25034104,99999,AR,Little Rock,11/04/2012,NULL
Wichita,99999,Undergraduate,All,24022116,99999,KS,Wichita,,NULL
Denver,99999,All,All,24936406,99999,CO,Denver,,NULL
Kansas City,99999,All,All,24918025,99999,MO,,,
Oklahoma City,99999,All,All,24955436,99999,OK,,,
Fort Myers,99999,All,All,249A0410,99999,FL,,,
Jacksonville,99999,Undergraduate,All,249A1410,99999,FL,,,
Manassas,99000,Undergraduate,All,24960846,99999,VA,Manassas,,NULL
Toppenish,3600,Undergraduate,All,31155047,5,WA,NULL,08/05/2015,NULL
Madison,99999,Graduate,All,21000749,99999,WI,NULL,,2016/2017
Madison,99999,Undergraduate,All,21000749,99999,WI,NULL,,2016/2017
Kenosha,99999,Graduate,All,21000749,99999,WI,Kenosha,,- Please make a selection -
Kenosha,99999,Undergraduate,All,21000749,99999,WI,Kenosha,,2016/2017
Madison,99999,Undergraduate,All,21000749,99999,WI,NULL,11/05/2012,- Please make a selection -
Madison,99999,Graduate,All,21000749,99999,WI,NULL,11/05/2012,- Please make a selection -
Minneapolis,99999,Undergraduate,All,21014823,99999,MN,Minneaspolis,,2016/2017
Kenner,99999,Undergraduate,All,21900118,99999,LA,Kenner,,2016/2017
Atlanta,99999,Undergraduate,All,21916411,99999,GA,NULL,11/05/2012,2016/2017
Springfield,99999,Graduate,Law,31904121,10,MA,NULL,,
Winter Park,99999,Undergraduate,All,219A8110,99999,FL,Winter Park,,2016/2017
Birmingham,99999,Undergraduate,All,24938401,99999,AL,Birmingham,,2016/2017
Concord,99999,All,All,24801229,99999,NH,,,
Manchester,99999,All,All,24801029,99999,NH,Manchester,10/04/2012,NULL
Nashua,99999,All,All,24801129,99999,NH,Nashua,10/04/2012,NULL
Portsmouth,99999,All,All,24801329,99999,NH,Portsmouth,10/04/2012,NULL
Salem,99999,All,All,24801429,99999,NH,Salem,10/04/2012,NULL
High Point,4000,Undergraduate,Day Program,31000933,80,NC,,,NULL
Hamburg,1000,Undergraduate,All,31383132,40,NY,NULL,,NULL
Moore,3000,All,All,34003036,99999,OK,,,
Raymond,1300,Undergraduate,All,14807324,20,MS,NULL,,NULL
Hiram,6345,All,All,31001535,99999,OH,NULL,,
Madisonville,5000,All,All,31903542,10,TN,,,NULL
Geneva,13959,Undergraduate,Hobart College,31301832,99999,NY,NULL,,NULL
Naples,3000,Undergraduate,All,31861010,450,FL,,,NULL
Springfield,99999,Graduate,Business,31904121,10,MA,NULL,,
Naples,3000,Graduate,All,31861010,150,FL,NULL,,NULL
Key West,3000,Undergraduate,All,31861110,100,FL,,,
Key West,3000,Graduate,All,31861110,100,FL,,,
Hempstead,4500,Undergraduate,All,31906132,40,NY,NULL,,2017/2018
Dallas,2000,All,All,24126843,5,TX,Dallas,08/06/2018,2018/2019
Hempstead,5000,JD,All,31906132,4,NY,NULL,,2017/2018
Roanoke,10000,All,All,31926446,100,VA,,,
Notre Dame,2000,Undergraduate,All,34000514,100,IN,Notre Dame,,NULL
Brownwood,3100,All,All,319H2143,100,TX,NULL,,NULL
Troy,1000,Undergraduate,All,14901432,50,NY,Troy,,
Montgomery,10750,Undergraduate,All,31000601,99999,AL,,01/05/2012,NULL
Huntington,2500,Graduate,All,31921414,2,IN,,02/04/2012,NULL
Huntington,5000,Undergraduate,All,31921414,18,IN,,02/04/2012,NULL
Bangor,8500,All,All,31000319,10,ME,NULL,08/05/2019,2019/2020
Virginia Beach,99999,Associates,All,21955046,99999,VA,Virginia Beach,,NULL
Los Angeles,99999,All,All,24003905,99999,CA,Los Angeles,11/05/2012,NULL
Pocatello,3190,Undergraduate,Open,11995112,5,ID,,,
Jacksonville,7030,Undergraduate,All,31001313,20,IL,,05/04/2012,NULL
Jacksonville,7030,Graduate,All,31001313,5,IL,,05/04/2012,NULL
Chicago,99999,Undergraduate,All,31935113,50,IL,,,
Chicago,6000,Graduate,"All (Main campus, including Stuart/ID)",31935113,,,,
Chicago,5000,Graduate,Stuart School of Business,31043213,25,IL,,,NULL
Chicago,12750,Graduate,Chicago-Kent College of Law,31043213,15,IL,Chicago-Kent Law,,NULL
Chicago,5000,Graduate (Stuart School of Business),Stuart School of Business,31043213,20,IL,,,NULL
Bloomington,13000,Undergraduate,All,31001413,20,IL,NULL,,NULL
Immaculata,99999,All (College of Undergraduate Studies),College of Undergraduate Studies,31919138,99999,PA,Immaculata,,NULL
Immaculata,99999,All (College of Lifelong Learning),College of Lifelong Learning,31919138,99999,PA,Immaculata,,NULL
Immaculata,99999,All (College of Graduate Studies),College of Graduate Studies,31919138,99999,PA,Immaculata,,NULL
Salt Lake City,10000,Undergraduate,All,21904144,1000,UT,,,
Fort Wayne,5000,All,All,31000514,99999,IN,Fort Wayne,07/05/2015,NULL
Fishers,5000,All,All,31928914,99999,IN,Fishers,07/05/2015,NULL
Terre Haute,1000,All,All,11915114,20,IN,,,
Kokomo,3000,All,All,11901114,2,IN,,,
South Bend,99999,All,All,11902114,25,IN,South Bend,,- Please make a selection -
Indianapolis,4000,All,All,11903414,30,IN,Purdue University Indianapolis,,NULL
New Albany,2000,All,All,11917414,10,IN,,,
Bloomington,99999,All,All,11907414,99999,IN,,,
Richmond,1500,All,All,11912414,10,IN,East,03/04/2012,NULL
Gary,5450,All,All,11902214,6,IN,Gary,02/05/2012,NULL
Indiana,1000,All,All,11969138,5,PA,NULL,,
Indiana,1000,Graduate,All,11969138,2,PA,of Pennsylvania,,NULL
Fort Wayne,2000,Undergraduate,All,11903214,10,IN,at Fort Wayne,,NULL
Columbus,1000,All,All,11910414,5,IN,Purdue University Columbus,,NULL
Springfield,99999,Graduate,Engineering,31904121,10,MA,NULL,,
Indianapolis,23000,Doctoral,School of Law,11800714,10,IN,Robert H. McKinney School of Law-Indianapolis,,2017/2018
Indianopolis,3650,All,All,11900114,4,IN,School of Dentistry,02/04/2012,NULL
Louisville,99999,Undergraduate (All Adult Education Programs),All Adult Education Programs,31511117,99999,KY,Louisville,04/04/2012,NULL
Louisville,15000,Graduate,All,31511717,99999,KY,Louisville,,
Independence,99999,Undergraduate (All Adult Education Programs),All Adult Education Programs,31515635,99999,OH,Cleveland,04/04/2012,NULL
Independence,20000,Graduate,All,31515635,99999,OH,Cleveland,04/04/2012,NULL
West Chester,99999,Undergraduate (All Adult Education Programs),All Adult Education Programs,31852635,99999,OH,Cincinnati,04/04/2012,NULL
San Antonio,99999,All,All,24036143,99999,TX,San Pedro,10/04/2012,NULL
Brownsville,99999,All,All,24036243,99999,TX,,,
San Antonio,99999,All,All,24036443,99999,TX,Ingram,10/04/2012,NULL
El Paso,99999,All,All,24036643,99999,TX,,,
Laredo,99999,All,All,24037543,99999,TX,Laredo,01/05/2012,NULL
Jacksonville,99999,All,All,24201410,99999,FL,,,
Clovis,99999,All,All,24804405,99999,CA,,,
Bakersfield,99999,All,All,24804605,99999,CA,Bakersfield,01/05/2012,2016/2017
St. Charles,99999,All,All,31100525,99999,MO,NULL,,2019/2020
Columbia,6000,Undergraduate,All,31509817,75,KY,,12/04/2012,NULL
Columbia,6000,Graduate,All,31509817,75,KY,,12/04/2012,NULL
Portland,99999,Undergraduate,All,31801237,99999,OR,NULL,,2016/2017
McMinnville,99999,Undergraduate,All,31801137,99999,OR,NULL,,2016/2017
Waco,99999,All,All,21042143,99999,TX,,,
Wyoming,99999,All,All,21056022,99999,MI,Wyoming,04/05/2012,NULL
Canton,99999,All,All,21056122,99999,MI,Canton,04/05/2012,NULL
Dearborn,99999,All,All,21056322,99999,MI,,,
Tampa,99999,All,All,21061610,99999,FL,Tampa,04/05/2012,NULL
Jacksonville,99999,All,All,21061810,99999,FL,Jacksonville,04/05/2012,NULL
Ft. Myers,99999,All,All,21063110,99999,FL,,,
Tallahassee,99999,All,All,21063310,99999,FL,,,
Orlando,99999,All,All,21063910,99999,FL,,,
Westminster,99999,All,All,21811506,99999,CO,,,
Aurora,99999,All,All,21811606,99999,CO,,,
Little Rock,99999,All,All,21930404,99999,AR,Little Rock,04/05/2012,NULL
Bessemer,99999,All,All,21953501,99999,AL,Bessemer,04/05/2012,NULL
Mobile,99999,All,All,21956201,99999,AL,Mobile,04/05/2012,NULL
Madison,99999,All,All,21958201,99999,AL,,,
Tucson,99999,All,All,24140103,99999,AZ,Tucson,04/05/2012,NULL
Greeley,1500,Undergraduate,Assoc. of Occup. Studies,24932606,50,CO,Greeley,,NULL
Brooklyn,325,Associates,Institute of Design & Construction,34931432,100,NY,NULL,,NULL
Stockton,1000,Undergraduate (College),College,24005105,99999,CA,Stockton,11/04/2012,NULL
Citrus Heights,2000,Undergraduate,College,24002805,99999,CA,Citrus Heights,11/04/2012,NULL
Clovis,2000,Undergraduate,College,24003005,99999,CA,Clovis,11/04/2012,NULL
Modesto,1000,Undergraduate,All,24002905,99999,CA,Modesto,,NULL
Modesto,2000,College,Undergraduate,24002905,99999,CA,Modesto,11/04/2012,NULL
Redding,2000,Undergraduate,College,24003505,99999,CA,Redding,04/04/2014,NULL
Redding,1000,Undergraduate - College,All,24003505,99999,CA,Redding,11/04/2012,NULL
Roseville,1000,Undergraduate,All,24002805,99999,CA,Roseville,,NULL
Atlanta,1300,Graduate,All,31006211,5,GA,,,NULL
Orlando,99999,All,All,21063210,99999,FL,Orlando,04/05/2012,NULL
Troy,99999,All,All,21104622,99999,MI,Troy,04/05/2012,NULL
Nashville,99999,All,All,21009542,99999,TN,Nashville,04/05/2012,NULL
Henderson,99999,All,All,21905628,99999,NV,Henderson,04/05/2012,NULL
San Antonio,99999,All,All,24036843,99999,TX,Henderson,04/05/2012,NULL
Sacramento,99999,All,All,21112805,99999,CA,,,
Tampa,99999,All,All,21836110,99999,FL,Tampa,04/05/2012,
Seattle,99999,All,All,21425747,99999,WA,Seattle,04/05/2012,NULL
Chicago,99999,All,All,24970413,99999,IL,,,
Indianapolis,5000,Undergraduate,All,24914414,10,IN,,,NULL
Fort Wayne,5000,Undergraduate,All,24915414,10,IN,NULL,,NULL
New Rochelle,99999,All,All,31913132,50,NY,NULL,03/05/2016,- Please make a selection -
Ames,2500,Undergraduate,All,11901115,99999,IA,,03/05/2012,NULL
Ames,2500,Graduate,All,11901115,99999,IA,,03/05/2012,NULL
Ames,2500,Graduate/Professional,Veterinary Medicine - Professional,11901115,99999,IA,,03/05/2012,NULL
Mt. Pleasant,99999,Undergraduate,All,31001015,99999,IA,NULL,10/05/2012,NULL
Amityville,99999,Undergraduate,Computer Aided Drafting,24338632,99999,NY,,,NULL
Amityville,99999,Undergraduate,Electronic/Computer Tech,24338632,99999,NY,,,NULL
Ithaca,99999,All,All,319D0132,99999,NY,NULL,07/05/2012,NULL
Kennesaw,99999,All,All,21000111,99999,GA,Kennesaw,04/05/2012,NULL
Madison,99999,All,All,21000124,99999,MS,,,
Omaha,99999,All,All,21000227,99999,NE,,,
Murray,99999,All,All,21000544,99999,UT,Murray,04/05/2012,NULL
South Bend,99999,All,All,21000714,99999,IN,South Bend,04/05/2012,NULL
Duluth,99999,All,All,21000811,99999,GA,Duluth,04/05/2012,NULL
Merrillville,99999,All,All,21000814,99999,IN,Merrillville,04/05/2012,NULL
Madison,99999,All,All,21001049,99999,WI,Madison,04/05/2012,NULL
New Castle,1500,Graduate,All,31801008,99999,DE,,,NULL
St. Rose,99999,All,All,21001218,99999,LA,St. Rose,04/05/2012,NULL
Wichita,99999,All,All,21001316,99999,KS,,,
Atlanta,99999,All,All,21001411,99999,GA,,,
Tulsa,99999,All,All,21004136,99999,OK,Tulsa,04/05/2012,NULL
Oklahoma City,99999,All,All,21004236,99999,OK,Oklahoma City,04/05/2012,NULL
Charlotte,99999,All,All,21004833,99999,NC,Charlotte (South),04/05/2012,NULL
Johnson City,99999,All,All,21008642,99999,TN,,,
Springfield,99999,All,All,21013446,99999,VA,Springfield,11/05/2012,NULL
Eden Prarie,99999,All,All,21014123,99999,MN,Eden Prairie,04/05/2012,NULL
Webster,99999,All,All,21038943,99999,TX,Webster,04/05/2012,NULL
San Antonio,99999,All,All,21039143,99999,TX,San Antonio,04/05/2012,NULL
Houston,99999,All,All,21039243,99999,TX,Houston (North),04/05/2012,NULL
Houston,99999,All,All,21039443,99999,TX,Houston (West),04/05/2012,NULL
Richardson,99999,All,All,21039543,99999,TX,Richardson,04/05/2012,NULL
DeSoto,99999,All,All,21040743,99999,TX,,,
Tempe,99999,All,All,24140203,99999,AZ,Tempe,04/05/2012,NULL
Phoenix,99999,All,All,21003803,99999,AZ,Phoenix,04/05/2012,NULL
Phoenix,999999,All,All,21005603,99999,AZ,,,
Brooklyn Center,99999,All,All,21015423,99999,MN,Brooklyn Center,04/05/2012,NULL
Austin,99999,All,All,21038843,99999,TX,,,
Swartz Creek,99999,All,All,21056222,99999,MI,Swartz Creek,04/05/2012,NULL
Ft. Lauderdale,99999,All,All,21061910,99999,FL,Ft. Lauderdale,04/05/2012,NULL
University Park,99999,All,All,21063710,99999,FL,University Park (Manatee CO) Brandenton,04/05/2012,NULL
Akron,99999,All,All,24010635,99999,OH,Akron,04/05/2012,NULL
Arlington,99999,All,All,21039343,99999,TX,Arlington,04/05/2012,NULL
Arnold,99999,All,All,24123225,99999,MO,Arnold,04/05/2012,NULL
Baton Rouge,99999,All,All,21801218,99999,LA,,,
Bensalem,99999,All,All,249E1438,99999,PA,Bensalem,04/05/2012,
Boise,99999,All,All,24900412,99999,ID,Boise,04/05/2012,NULL
Oak Brook,99999,All,All,24963113,99999,IL,,,
Cedar Rapids,99999,All,All,31902915,99999,IA,Cedar Rapids,,NULL
Chantilly,99999,All,All,21805246,99999,VA,Chantilly,04/05/2012,NULL
Charlotte,99999,All,All,21904633,99999,NC,,,
Chattanooga,99999,All,All,24004842,99999,TN,Chattanooga,04/05/2012,NULL
Clive,99999,All,All,31005115,99999,IA,Clive,,NULL
Clovis,99999,All,All,21111805,99999,CA,Clovis,04/05/2012,NULL
Columbia,99999,All,All,24082440,99999,SC,,,
Columbus,99999,All,All,24010035,99999,OH,Columbus,,NULL
Concord,99999,All,All,21114005,99999,CA,,,
Cordova,99999,All,All,24004742,99999,TN,Cordova,04/05/2012,NULL
Corona,99999,All,All,21114805,99999,CA,,,
Dayton,99999,All,All,21518035,99999,OH,Dayton,04/05/2012,NULL
Dunmore,99999,All,All,249B0038,99999,PA,Dunmore,04/05/2012,NULL
Earth City,99999,All,All,24956425,99999,MO,Earth City,04/05/2012,NULL
Everett,99999,All,All,24958447,99999,WA,Everett,04/05/2012,NULL
Ft. Wayne,99999,All,All,24910414,99999,IN,Ft. Wayne,04/05/2012,NULL
Getzville,99999,All,All,24335732,99999,NY,Getzville,04/05/2012,NULL
Green Bay,99999,All,All,24908449,99999,WI,Green Bay,04/05/2012,NULL
Greenfield,99999,All,All,24906149,99999,WI,Greenfield,04/05/2012,NULL
Greenville,99999,All,All,24008140,99999,SC,Greenville,04/05/2012,NULL
Harrisburg,99999,All,All,249B9438,99999,PA,Harrisburg,04/05/2012,NULL
Henderson,99999,All,All,24903428,99999,NV,Henderson,04/05/2012,NULL
High Point,99999,All,All,21904233,99999,NC,High Point,04/05/2012,NULL
Hilliard,99999,All,All,24009535,99999,OH,Hilliard,,NULL
Huntington,99999,All,All,24926648,99999,WV,,,
Carmel,12750,Graduate,Chicago-Kent Law,24912414,10,IN,,,
Indianapolis,99999,All,All,24930814,99999,IN,Indianapolis (Resident Div.),04/05/2012,NULL
Kansas City,99999,All,All,21125025,99999,MO,Kansas City,04/05/2012,NULL
King of Prussia,99999,All,All,24993438,99999,PA,King of Prussia,04/05/2012,NULL
Knoxville,99999,All,All,24004142,99999,TN,Knoxville,04/05/2012,NULL
Lake Mary,99999,All,All,21829010,99999,FL,Lake Mary,04/05/2012,NULL
North Las Vegas,99999,All,All,21905728,99999,NV,Las Vegas,04/05/2012,NULL
Lathrop,99999,All,All,21831805,99999,CA,Lathrop,04/05/2012,NULL
Lexington,99999,All,All,21511017,99999,KY,Lexington,04/05/2012,NULL
Liverpool,99999,All,All,24339132,99999,NY,Liverpool,04/05/2012,NULL
Louisville,99999,All,All,21923117,99999,KY,,,
Maumee,99999,All,All,24806435,99999,OH,Maumee,,NULL
Miami,99999,All,All,21829110,99999,FL,Miami,04/05/2012,NULL
Cary,99999,All,All,21904333,99999,NC,,,
Mount Prospect,99999,All,All,24966113,99999,IL,Mount Prospect,04/05/2012,NULL
Myrtle Beach,99999,All,All,24008340,99999,SC,,,
Nashville,99999,All,All,24003742,99999,TN,Nashville,04/05/2012,NULL
Newburgh,99999,All,All,24911414,99999,IN,Newburgh,04/05/2012,NULL
Norfolk,99999,All,All,21803346,99999,VA,Norfolk,04/05/2012,NULL
North Charleston,99999,All,All,24008440,99999,SC,North Charleston,04/05/2012,NULL
Norwood,99999,All,All,24005121,99999,MA,"Norwood,,
Norwood,99999,All,All,24008835,99999,OH,"Norwood,,
Oakland,99999,All,All,21115605,99999,CA,,,
Orange,99999,All,All,21115605,99999,CA,Orange,,NULL
Orland Park,99999,All,All,21965113,99999,IL,Orland Park,04/05/2012,NULL
Owings Mill,99999,All,All,21803320,99999,MD,Owings Mill,04/05/2012,NULL
Oxnard,99999,All,All,21831505,99999,CA,Oxnard,04/05/2012,NULL
Pinellas Park,99999,All,All,21829210,99999,FL,Pinellas Park,,NULL
Pittsburgh,99999,All,All,249B0438,99999,PA,Pittsburgh,04/05/2012,NULL
Portland,99999,All,All,21901137,99999,OR,Portland,,NULL
Rancho Cordova,99999,All,All,21830905,99999,CA,Rancho Cordova,04/05/2012,NULL
Richmond,99999,All,All,21803446,99999,VA,Richmond,04/05/2012,NULL
Salem,99999,All,All,21805746,99999,VA,Salem,04/05/2012,NULL
San Bernadino,99999,All,All,21831205,99999,CA,San Bernadino,04/05/2012,NULL
San Diego,99999,All,All,21831005,99999,CA,San Diego,04/05/2012,NULL
San Dimas,99999,All,All,21831105,99999,CA,San Dimas,04/05/2012,NULL
Seattle,99999,All,All,24944447,99999,WA,Seattle,04/05/2012,NULL
Spokane Valley,99999,All,All,24910447,99999,WA,Spokane Valley,04/05/2012,NULL
Springfield,99999,All,All,31127025,99999,MO,Springfield,,NULL
St. Petersburg,99999,All,All,21829210,99999,FL,,,
Strongsville,99999,All,All,24804735,99999,OH,Strongsville,,NULL
Sylmar,99999,All,All,21831605,99999,CA,Sylmar,04/05/2012,NULL
Tarentum,99999,All,All,249C0438,99999,PA,Tarentum,04/05/2012,NULL
Torrance,99999,All,All,21831305,99999,CA,,,
Troy,99999,All,All,21151422,99999,MI,Troy,04/05/2012,NULL
Warrensville Heights,99999,All,All,24806035,99999,OH,Warrensville Heights,04/05/2012,NULL
Wilmington,99999,All,All,24005521,99999,MA,,,
Youngstown,99999,All,All,24008535,99999,OH,Youngstown,,NULL
West Covina,99999,All,All,21115005,99999,CA,West Covina,04/05/2012,NULL
Albuquerque,99999,All,All,24010031,99999,NM,Albuquerque,04/05/2012,NULL
Albany,99999,All,All,24338932,99999,NY,Albany,04/05/2012,NULL
Orange,99999,All,All,21831905,99999,CA,Orange CA,04/05/2012,NULL
Norwood,99999,Undergraduate,School of Business,24008835,99999,OH,Norwood,,NULL
Norwood,99999,Undergraduate,School of Criminal Justice,24008835,99999,OH,Norwood,,NULL
Norwood,99999,Undergraduate,School of Information Technology,24008835,99999,OH,Norwood,,NULL
Norwood,99999,Undergraduate,School of Electronics,24008835,99999,OH,Norwood,,NULL
Jacksonville,1000,Graduate,All,11505001,99999,AL,,,
Jacksonville,99999,Undergraduate,College of Arts & Sciences/Education,31972110,99999,FL,NULL,10/05/2019,2018/2019
Jacksonville,4000,Graduate,College of Health Science,31972110,99999,FL,NULL,10/05/2019,2019/2020
Jacksonville,2500,Graduate,College of Interdisciplinary Studies,31972110,99999,FL,NULL,02/04/2014,NULL
Jacksonville,3000,Graduate,College of Fine Arts,31972110,99999,FL,NULL,10/05/2019,2019/2020
Jacksonville,4000,Graduate,Business,31972110,99999,FL,NULL,10/05/2019,2019/2020
Jacksonville,3000,Graduate,College of Arts & Sciences/Education,31972110,99999,FL,NULL,10/05/2019,2019/2020
Jacksonville,99999,Undergraduate,Business,31972110,99999,FL,NULL,10/05/2019,2019/2020
Jacksonville,99999,Undergraduate,College of Fine Arts,31972110,99999,FL,NULL,10/05/2019,2019/2020
Jacksonville,99999,Undergraduate,College of Health Science,31972110,99999,FL,NULL,10/05/2019,2019/2020
Jacksonville,99999,Undergraduate,College of Interdisciplinary Studies,31972110,99999,FL,NULL,02/04/2014,NULL
Jamestown,99999,All,All,31000134,99999,ND,NULL,11/04/2018,2018/2019
Hillsboro,99999,Undergraduate,All,14911425,10,MO,,,NULL
Roanoke,4000,All,All,34930446,25,VA,NULL,09/05/2012,NULL
St. Louis Park,99999,All,All,21015123,99999,MN,,,
Kansas City,99999,All,All,31120325,99999,MO,Kansas City,,NULL
Kansas City,99999,All,All,21120225,99999,MO,Keller Graduate School of Management-Kansas City,,NULL
Chicago,99999,Undergraduate,All,31958113,50,IL,NULL,10/05/2013,NULL
Fairfield,2000,Undergraduate,All,14915419,10,ME,NULL,09/05/2012,NULL
Kennesaw,1000,All,All,11010411,10,GA,Kennesaw,,NULL
Owensboro,6000,Undergraduate,All,31000517,99999,KY,Owensboro,,NULL
Gambier,16000,Undergraduate,All,31007335,20,OH,NULL,,2018/2019
Siloam Springs,2500,Undergraduate,All,31000704,30,AR,NULL,,2016/2017
University Heights,99999,Graduate,College,31965235,99999,OH,,10/04/2012,NULL
University Heights,99999,Undergraduate (School of Liberal Arts),School of Liberal Arts,31965235,99999,OH,,,NULL
University Heights,99999,Graduate (School of Business),School of Business,31965235,99999,OH,,,NULL
University Heights,99999,Undergraduate,College,31965235,99999,OH,,10/04/2012,NULL
Marshalltown,99999,All,All,31800515,99999,IA,Marshalltown Site,11/05/2012,NULL
Pleasant Hilil,99999,Undergraduate,College of Undergraduate Studies,31934105,70,CA,NULL,,
Pleasant Hilil,99999,Graduate,College of Graduate and Professional Studies,31934105,60,CA,NULL,,
Pleasant Hilil,99999,Doctoral,College of Graduate and Professional Studies/School of Law,31934105,20,CA,NULL,,
High Point,500,All,All,31904133,1,NC,,,NULL
Columbia,1000,Doctoral (School of Education),School of Education,31802820,3,MD,,,
Baltimore,6000,Graduate,All,31802220,1,MD,,,
Columbia,1000,Undergraduate (School of Education),School of Education,31802820,3,MD,,,
Baltimore,10000,Graduate,Carey Business School,31802820,25,MD,NULL,10/05/2019,2019/2020
Baltimore,5200,Undergraduate,JHU ASEN Homewood,31802020,20,MD,JHU Homewood (ASEN),,2018/2019
Baltimore,1000,Graduate,Krieger-AAP,31802020,15,MD,JHU Homewood (ASEN),,2016/2017
Baltimore,5000,All,Peabody Conservatory,31905220,6,MD,Peabody Conservatory of Music,10/05/2012,2019/2020
Washington,6000,Graduate,International Studies,31702009,99999,DC,,,
Columbia,1000,Graduate,All,31802820,1,MD,,,
Columbia,1000,Doctoral,All,31802820,1,MD,,,
Baltimore,15000,Doctoral,School of Medicine,31802320,6,MD,,,
Baltimore,500,Graduate,Whiting-EP,31802020,6,MD,JHU Homewood (ASEN),,2016/2017
Denver,99999,Undergraduate,All,31013406,99999,CO,Denver,04/04/2016,2016/2017
Charlotte,99999,Undergraduate,All,31012433,99999,NC,Charlotte,,NULL
Denver,99999,Graduate,All,31013406,99999,CO,Denver,04/04/2016,2016/2017
North Miami,99999,Undergraduate,All,31109310,99999,FL,North Miami,,NULL
Providence,99999,Graduate,All,31911739,99999,RI,NULL,04/04/2016,2016/2017
Providence,99999,Doctoral,All,31911739,99999,RI,Providence,,NULL
Providence,99999,Undergraduate,All,31911739,99999,RI,NULL,04/04/2016,2016/2017
Scranton,5000,Undergraduate,All,34989438,99999,PA,NULL,,2016/2017
Knoxville,4500,Undergraduate,All,31903342,99999,TN,(formerly Johnson Bible College),,NULL
Knoxville,4500,Undergraduate & Graduate,All,31903342,99999,TN,(formerly Johnson Bible College),,NULL
Centennial,1035,Graduate (School of Business),School of Business,21916106,99999,CO,Centennial,10/04/2012,NULL
Centennial,1992,Doctoral (School of Education),School of Education,21916106,99999,CO,Centennial CO,10/04/2012,NULL
Marion,2600,Undergraduate,All,31000701,200,AL,NULL,10/04/2019,2019/2020
Huntington,8000,Undergraduate,All,31002038,50,PA,Huntington,,NULL
