dapipid,agencyid,agencyname,programid,programname,sequentialid,actiondescription,actiondate,justificationdescription,justificationother,enddate
242264002,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Initial Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
145123002,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,3,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
143996005,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Initial Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
140526009,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Initial Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
106786,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
113157,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,2,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
113157,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,3,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
113157,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,4,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
110097,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,2,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
125860,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
125860,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,2,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
121600,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
121600,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,2,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part.,
122463,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
132499,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,2,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
132499,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,3,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
132499,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,5,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part.,
137528,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,5,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
143996,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,3,Accreditation Reaffirmed: Probation Removed,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
143996,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,4,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
145123,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,3,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
145123,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,6,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
231615,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
234289,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
228547,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
221786,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
219523,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part.,
219532,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
219541,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
219550,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
219569,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
224022,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
224147,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
223940,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
223834,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
227580,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
201797,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
202161,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
211273,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
211282,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
211389,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
213686,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
213729,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
217998,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
218007,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
218034,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Loss of Accreditation or Preaccreditation: Voluntary Withdrawal,,Other - Provide unlisted or multiple justifications,Voluntary withdrawal,
216782,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
193414,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
193539,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Loss of Accreditation or Preaccreditation: Voluntary Withdrawal,,Is in compliance with all of the agency's accreditation standards,,
196051,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
196671,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
194958,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
194435,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
194648,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
193955,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part.,
194000,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
194365,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
193575,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
193609,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
193618,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part.,
193627,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
193636,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
193724,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
193830,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
193919,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
197577,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
197586,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
196714,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",50,Optometry (OPTR) - Residency programs,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
230296,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",51,Optometry (OPTT) - Technician programs,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Meets all standards in full or in part,
115126,47,"AMERICAN OPTOMETRIC ASSOCIATION, ACCREDITATION COUNCIL ON OPTOMETRIC EDUCATION",51,Optometry (OPTT) - Technician programs,1,Loss of Accreditation or Preaccreditation: Voluntary Withdrawal,,Other - Provide unlisted or multiple justifications,Program voluntarily withdrew from accreditation,
228796,48,"AMERICAN OSTEOPATHIC ASSOCIATION, COMMISSION ON OSTEOPATHIC COLLEGE ACCREDITATION",1,Institutional Accreditation,1,Grant Substantive Change: Other,,Other - Provide unlisted or multiple justifications,Grant of substantive change for planned class size increase is subject to a focused site visit addressing certain unresolved compliance issues.,
228796,48,"AMERICAN OSTEOPATHIC ASSOCIATION, COMMISSION ON OSTEOPATHIC COLLEGE ACCREDITATION",1,Institutional Accreditation,1,Grant Substantive Change: Other,,Has satisfactorily addressed all compliance concerns from previous actions,,
192040,48,"AMERICAN OSTEOPATHIC ASSOCIATION, COMMISSION ON OSTEOPATHIC COLLEGE ACCREDITATION",1,Institutional Accreditation,1,Grant Substantive Change: Other,,Other - Provide unlisted or multiple justifications,First year comprehensive monitoring of additional location demonstrated compliance with all accreditation Standards. Continuing accreditation granted to parent institution to include additional location.,
192040,48,"AMERICAN OSTEOPATHIC ASSOCIATION, COMMISSION ON OSTEOPATHIC COLLEGE ACCREDITATION",1,Institutional Accreditation,1,Grant Substantive Change: Ownership,,Other - Provide unlisted or multiple justifications,Grant substantive change request for change of ownership,
170912,48,"AMERICAN OSTEOPATHIC ASSOCIATION, COMMISSION ON OSTEOPATHIC COLLEGE ACCREDITATION",1,Institutional Accreditation,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Review of mid-cycle report demonstrated compliance with all Standards.,
242705,48,"AMERICAN OSTEOPATHIC ASSOCIATION, COMMISSION ON OSTEOPATHIC COLLEGE ACCREDITATION",1,Institutional Accreditation,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Institution has met all Pre-Accreditation Standards. Continuing Pre-Accreditation status granted.,
238315,48,"AMERICAN OSTEOPATHIC ASSOCIATION, COMMISSION ON OSTEOPATHIC COLLEGE ACCREDITATION",1,Institutional Accreditation,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Preaccreditation status continued,
238430,48,"AMERICAN OSTEOPATHIC ASSOCIATION, COMMISSION ON OSTEOPATHIC COLLEGE ACCREDITATION",52,Osteopathic Medicine (OSTEO) - Programs leading to the D.O. degree,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Institution is in compliance with all Pre-Accreditation Standards.  Renewal of Accreditation is for renewal of Pre-Accreditation status.,
242705,48,"AMERICAN OSTEOPATHIC ASSOCIATION, COMMISSION ON OSTEOPATHIC COLLEGE ACCREDITATION",52,Osteopathic Medicine (OSTEO) - Programs leading to the D.O. degree,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Institution has met all Pre-Accreditation Standards. Continuing Pre-Accreditation Status granted.,
112613004,48,"AMERICAN OSTEOPATHIC ASSOCIATION, COMMISSION ON OSTEOPATHIC COLLEGE ACCREDITATION",52,Osteopathic Medicine (OSTEO) - Programs leading to the D.O. degree,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Review of mid-cycle report demonstrated compliance with all Standards.,
125514004,48,"AMERICAN OSTEOPATHIC ASSOCIATION, COMMISSION ON OSTEOPATHIC COLLEGE ACCREDITATION",52,Osteopathic Medicine (OSTEO) - Programs leading to the D.O. degree,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
125514004,48,"AMERICAN OSTEOPATHIC ASSOCIATION, COMMISSION ON OSTEOPATHIC COLLEGE ACCREDITATION",52,Osteopathic Medicine (OSTEO) - Programs leading to the D.O. degree,1,Grant Substantive Change: Other,,Other - Provide unlisted or multiple justifications,Grant substantive change for planned class size increase pending submission of clarifying information regarding request.,
137616003,48,"AMERICAN OSTEOPATHIC ASSOCIATION, COMMISSION ON OSTEOPATHIC COLLEGE ACCREDITATION",52,Osteopathic Medicine (OSTEO) - Programs leading to the D.O. degree,1,Grant Substantive Change: Other,,Other - Provide unlisted or multiple justifications,Substantive change request for additional location and class size increase pending site visit,
132657002,48,"AMERICAN OSTEOPATHIC ASSOCIATION, COMMISSION ON OSTEOPATHIC COLLEGE ACCREDITATION",52,Osteopathic Medicine (OSTEO) - Programs leading to the D.O. degree,1,Renewal of Accreditation,,Additional oversight is required to ensure a resolution of compliance issues,,
160108002,48,"AMERICAN OSTEOPATHIC ASSOCIATION, COMMISSION ON OSTEOPATHIC COLLEGE ACCREDITATION",52,Osteopathic Medicine (OSTEO) - Programs leading to the D.O. degree,1,Grant Substantive Change: Other,,Other - Provide unlisted or multiple justifications,Grant substantive change request for additional location and class size increase pending receipt of state authorization and site visit,
192059,48,"AMERICAN OSTEOPATHIC ASSOCIATION, COMMISSION ON OSTEOPATHIC COLLEGE ACCREDITATION",52,Osteopathic Medicine (OSTEO) - Programs leading to the D.O. degree,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,"Is in compliance with all of the agency's accreditation standards except one Non-CORE element (Element 7.8), which was deemed unmet during the comprehensive site review. The institution provided post hoc compliance with this element prior to final adjudication. The institution is now in compliance with all standards.",
143525,48,"AMERICAN OSTEOPATHIC ASSOCIATION, COMMISSION ON OSTEOPATHIC COLLEGE ACCREDITATION",52,Osteopathic Medicine (OSTEO) - Programs leading to the D.O. degree,1,Grant Substantive Change: Other,,Other - Provide unlisted or multiple justifications,Granted substantive change for additional location subject to review of comprehensive site visit report.,
143525,48,"AMERICAN OSTEOPATHIC ASSOCIATION, COMMISSION ON OSTEOPATHIC COLLEGE ACCREDITATION",52,Osteopathic Medicine (OSTEO) - Programs leading to the D.O. degree,1,Renewal of Accreditation,,Additional oversight is required to ensure a resolution of compliance issues,,
143525,48,"AMERICAN OSTEOPATHIC ASSOCIATION, COMMISSION ON OSTEOPATHIC COLLEGE ACCREDITATION",52,Osteopathic Medicine (OSTEO) - Programs leading to the D.O. degree,1,Grant Substantive Change: Other,,Other - Provide unlisted or multiple justifications,Final approval of substantive change for additional location and class size increase granted,
146393,48,"AMERICAN OSTEOPATHIC ASSOCIATION, COMMISSION ON OSTEOPATHIC COLLEGE ACCREDITATION",52,Osteopathic Medicine (OSTEO) - Programs leading to the D.O. degree,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,The institution has met all standards and has received accreditation with exceptional outcome status.  The accreditation cycle for this status is 10 years.,
110097,48,"AMERICAN OSTEOPATHIC ASSOCIATION, COMMISSION ON OSTEOPATHIC COLLEGE ACCREDITATION",52,Osteopathic Medicine (OSTEO) - Programs leading to the D.O. degree,1,Renewal of Accreditation,,Other - Provide unlisted or multiple justifications,Institution has satisfactorily met all core Elements. The institution must comply with one non core Element under the Standards.,
119641,48,"AMERICAN OSTEOPATHIC ASSOCIATION, COMMISSION ON OSTEOPATHIC COLLEGE ACCREDITATION",52,Osteopathic Medicine (OSTEO) - Programs leading to the D.O. degree,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
126368,48,"AMERICAN OSTEOPATHIC ASSOCIATION, COMMISSION ON OSTEOPATHIC COLLEGE ACCREDITATION",52,Osteopathic Medicine (OSTEO) - Programs leading to the D.O. degree,1,Grant Substantive Change: Other,,Other - Provide unlisted or multiple justifications,First year comprehensive monitoring of additional location demonstrated compliance with all accreditation Standards. Continuing accreditation granted to parent institution to include additional location,
125514,48,"AMERICAN OSTEOPATHIC ASSOCIATION, COMMISSION ON OSTEOPATHIC COLLEGE ACCREDITATION",52,Osteopathic Medicine (OSTEO) - Programs leading to the D.O. degree,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
124973,48,"AMERICAN OSTEOPATHIC ASSOCIATION, COMMISSION ON OSTEOPATHIC COLLEGE ACCREDITATION",52,Osteopathic Medicine (OSTEO) - Programs leading to the D.O. degree,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
122843,48,"AMERICAN OSTEOPATHIC ASSOCIATION, COMMISSION ON OSTEOPATHIC COLLEGE ACCREDITATION",52,Osteopathic Medicine (OSTEO) - Programs leading to the D.O. degree,1,Renewal of Accreditation,,Additional oversight is required to ensure a resolution of compliance issues,,
126377,49,"AMERICAN PHYSICAL THERAPY ASSOCIATION, COMMISSION ON ACCREDITATION IN PHYSICAL THERAPY EDUCATION",53,Physical Therapy (PT) - Professional programs for the physical therapist,1,Renewal of Accreditation,,Has satisfactorily addressed all compliance concerns from previous actions,,
126678,49,"AMERICAN PHYSICAL THERAPY ASSOCIATION, COMMISSION ON ACCREDITATION IN PHYSICAL THERAPY EDUCATION",53,Physical Therapy (PT) - Professional programs for the physical therapist,1,Renewal of Accreditation,,Has satisfactorily addressed all compliance concerns from previous actions,,
126128,49,"AMERICAN PHYSICAL THERAPY ASSOCIATION, COMMISSION ON ACCREDITATION IN PHYSICAL THERAPY EDUCATION",53,Physical Therapy (PT) - Professional programs for the physical therapist,1,Renewal of Accreditation,,Has satisfactorily addressed all compliance concerns from previous actions,,
126313,49,"AMERICAN PHYSICAL THERAPY ASSOCIATION, COMMISSION ON ACCREDITATION IN PHYSICAL THERAPY EDUCATION",53,Physical Therapy (PT) - Professional programs for the physical therapist,1,Renewal of Accreditation,,Has satisfactorily addressed all compliance concerns from previous actions,,
120236,49,"AMERICAN PHYSICAL THERAPY ASSOCIATION, COMMISSION ON ACCREDITATION IN PHYSICAL THERAPY EDUCATION",53,Physical Therapy (PT) - Professional programs for the physical therapist,1,Renewal of Accreditation,,Has satisfactorily addressed all compliance concerns from previous actions,,
134583,49,"AMERICAN PHYSICAL THERAPY ASSOCIATION, COMMISSION ON ACCREDITATION IN PHYSICAL THERAPY EDUCATION",53,Physical Therapy (PT) - Professional programs for the physical therapist,1,Renewal of Accreditation,,Has satisfactorily addressed all compliance concerns from previous actions,,
135568,49,"AMERICAN PHYSICAL THERAPY ASSOCIATION, COMMISSION ON ACCREDITATION IN PHYSICAL THERAPY EDUCATION",53,Physical Therapy (PT) - Professional programs for the physical therapist,1,Renewal of Accreditation,,Has satisfactorily addressed all compliance concerns from previous actions,,
132356,49,"AMERICAN PHYSICAL THERAPY ASSOCIATION, COMMISSION ON ACCREDITATION IN PHYSICAL THERAPY EDUCATION",53,Physical Therapy (PT) - Professional programs for the physical therapist,1,Renewal of Accreditation,,Has satisfactorily addressed all compliance concerns from previous actions,,
